Gene	log2FC
0610007N19Rik	0.137908023458244
0610007P14Rik	0.0102856492575505
0610009B22Rik	0.0499158217924478
0610009D07Rik	0.0216875572083026
0610009L18Rik	0.576040975621447
0610009O20Rik	0.0904569724560575
0610010F05Rik	0.190328418608243
0610010K14Rik	0.0817094333091073
0610011F06Rik	0.0659129962522469
0610012G03Rik	0.0928024071544051
0610030E20Rik	0.122441107775227
0610031J06Rik	0.0476042986745542
0610037L13Rik	0.0075768014981703
0610038B21Rik	0.394936204147147
0610040B10Rik	1.4126287531594
0610040F04Rik	0.517110008749612
0610040J01Rik	0.1129378806614
0610043K17Rik	0.188187645234185
1110001A16Rik	0.0886789312686891
1110001J03Rik	0.0708770342529856
1110002L01Rik	0.217804428423025
1110004E09Rik	0.0748251228818448
1110004F10Rik	0.200392560359373
1110007C09Rik	0.193351896798267
1110008F13Rik	0.225322562067122
1110008J03Rik	0.0826108749905816
1110008L16Rik	0.243653727469022
1110008P14Rik	0.30291961169509
1110012L19Rik	0.080813862570519
1110017D15Rik	0.219051299436493
1110019D14Rik	0.372039914049666
1110020A21Rik	0.307406154891545
1110032A03Rik	0.20816296170525
1110032F04Rik	0.223875516931899
1110034G24Rik	0.114748252614461
1110037F02Rik	0.0940211990612951
1110038B12Rik	0.0237139061558982
1110038F14Rik	0.0238035535385133
1110046J04Rik	0.40485360707712
1110051M20Rik	0.124145258141661
1110054M08Rik	0.00282556778764875
1110057K04Rik	0.255130300883172
1110058L19Rik	0.18859781720785
1110059E24Rik	0.179824119421572
1110059G10Rik	0.0374853566703783
1110065P20Rik	0.209582527524627
1190002N15Rik	0.482154958034141
1190005I06Rik	0.19773492028666
1190007I07Rik	0.175818317084401
1200014J11Rik	0.178649883621344
1300002E11Rik	0.218540968843389
1500004A13Rik	0.546031400905583
1500009C09Rik	0.113456435847619
1500009L16Rik	0.04824635511293
1500011B03Rik	0.106888670723356
1500011K16Rik	0.0260688850076978
1500012F01Rik	0.0704140426410018
1500015A07Rik	0.19669295837766
1500015O10Rik	0.27048432698351
1600002H07Rik	0.0721625253170552
1600002K03Rik	0.358681303307371
1600012H06Rik	0.0679970860678898
1600014C10Rik	0.0586849812579695
1600020E01Rik	0.0124935927420222
1600023N17Rik	0.194502243471708
1600029O15Rik	0.0694873973289091
1700001L05Rik	1.44076000222432
1700001L19Rik	0.0545195939542187
1700001O22Rik	0.128358746384234
1700003E16Rik	0.145264973772411
1700003M02Rik	0.00835945387469084
1700003M07Rik	0.172895738333671
1700007K13Rik	0.477940201136641
1700007P06Rik	0.530786787122613
1700008J07Rik	0.443591852281063
1700008O03Rik	0.504880459132975
1700009P17Rik	0.26602597266584
1700010I14Rik	0.298009415663741
1700012D14Rik	0.573861201793935
1700013F07Rik	0.250690802958543
1700016K19Rik	0.706677609863684
1700017B05Rik	0.209869068186037
1700018L02Rik	0.812355265007703
1700019D03Rik	0.0765037092612602
1700019G17Rik	0.107561174870832
1700020D05Rik	0.0922006271418068
1700020I14Rik	0.0201530664360847
1700021F05Rik	0.0500989792773581
1700021K19Rik	0.108353498668278
1700023F06Rik	0.675116616119105
1700024F13Rik	0.207566299582767
1700024P16Rik	0.246614915787688
1700025G04Rik	0.0394338422362566
1700028J19Rik	0.248834736768169
1700028K03Rik	0.00804092893536529
1700028P14Rik	0.0172810591715035
1700029I15Rik	0.134954923559979
1700029J07Rik	0.296750981933946
1700030C10Rik	0.714832172088749
1700030J22Rik	0.0941243606306785
1700030K09Rik	0.0492159872149682
1700034H15Rik	0.263482278668189
1700037C18Rik	0.386147535890146
1700037H04Rik	0.082640116166389
1700040L02Rik	0.541960937280935
1700047M11Rik	0.425195215268697
1700048O20Rik	0.249825579505214
1700049G17Rik	0.000945475640375282
1700052K11Rik	0.351094263604964
1700052N19Rik	0.145421100901918
1700063D05Rik	0.320253533142163
1700066M21Rik	0.0291022716778722
1700084C01Rik	0.230228821661326
1700086L19Rik	0.0223195822224138
1700086O06Rik	0.367284018643977
1700088E04Rik	0.340880276094751
1700093K21Rik	1.54413005939053
1700094D03Rik	0.339712075655236
1700096K18Rik	0.846104708728224
1700101I11Rik	0.669782425676609
1700102P08Rik	1.7776804998159
1700109H08Rik	0.423347072813542
1700110C19Rik	0.254494519170594
1700113A16Rik	0.400247643936344
1700123M08Rik	0.11387480923826
1700123O20Rik	0.380605355421228
1700124L16Rik	0.450233815604774
1810010H24Rik	0.327028543854765
1810011H11Rik	0.527010692437186
1810011O10Rik	0.945330241741929
1810013L24Rik	0.0569042255644003
1810014B01Rik	0.242940447719151
1810020O05Rik	0.75785586706579
1810021B22Rik	0.455733269403593
1810022K09Rik	0.155625232029857
1810026B05Rik	0.0249876350011511
1810026J23Rik	0.102411148554143
1810030O07Rik	0.176046551296127
1810032O08Rik	0.0684358962714133
1810037I17Rik	0.0644719661187922
1810041L15Rik	0.0777592595107821
1810043G02Rik	0.0773475419038832
1810043H04Rik	0.0923802764815855
1810055G02Rik	0.148632998522435
1810058I24Rik	0.121070081212998
1810062O18Rik	0.128849573199162
2010002M12Rik	0.683314131884055
2010012O05Rik	0.234627623361178
2010015L04Rik	0.23460659817427
2010107E04Rik	0.0442772966410034
2010107G12Rik	0.849510456662864
2010107G23Rik	0.166036566862705
